id,split,family,kind,state,expected_action,rationale,reviewer,reviewer_action,reviewer_notes,near_duplicate_concern
c-6eb42bcf5b43,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""The redaction helper returns a clean dictionary, so no emitted-output test is necessary."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why redaction tests use synthetic sentinels and inspect actual emitted logs.""}}",read,Does not satisfy: Explain why redaction tests use synthetic sentinels and inspect actual emitted logs.,,,,
c-701eb5555511,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Only named approved fields enter the log; a new field is excluded until reviewed."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how allowlisting log fields avoids leaking newly added sensitive fields.""}}",skip,Satisfies: Explain how allowlisting log fields avoids leaking newly added sensitive fields.,,,,
c-7b4a088b360f,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Exercise the logger with synthetic secrets, then inspect what was emitted rather than a helper return alone."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why redaction tests use synthetic sentinels and inspect actual emitted logs.""}}",skip,Satisfies: Explain why redaction tests use synthetic sentinels and inspect actual emitted logs.,,,,
c-85e567847f93,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Any cryptographic hash makes all logged secrets unrecoverable even with a tiny search space."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why hashing a low-entropy secret is not a sufficient redaction policy.""}}",read,Does not satisfy: Explain why hashing a low-entropy secret is not a sufficient redaction policy.,,,,
c-9b6b1f63835a,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""A small candidate space can be enumerated against the hash, so omit the secret instead."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why hashing a low-entropy secret is not a sufficient redaction policy.""}}",skip,Satisfies: Explain why hashing a low-entropy secret is not a sufficient redaction policy.,,,,
c-a1be10b15f5e,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Redact top-level keys only; nested objects are safe because the logger does not interpret them."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how nested objects and alternate serialization paths must follow the same redaction boundary.""}}",read,Does not satisfy: Explain how nested objects and alternate serialization paths must follow the same redaction boundary.,,,,
c-b4d3e0f50d6b,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Hashing is fast and lets us correlate events. That is all we need."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why hashing a low-entropy secret is not a sufficient redaction policy.""}}",read,Does not satisfy: Explain why hashing a low-entropy secret is not a sufficient redaction policy.,,,,
c-c0e49ebf71dc,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Log everything first, then erase credential fields during the nightly cleanup."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why authentication material must be removed before logging, including error paths.""}}",read,"Does not satisfy: Explain why authentication material must be removed before logging, including error paths.",,,,
c-db88302467fa,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Hashing still permits guesses of predictable secrets to be checked; do not put them in events."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why hashing a low-entropy secret is not a sufficient redaction policy.""}}",skip,Satisfies: Explain why hashing a low-entropy secret is not a sufficient redaction policy.,,,,
c-eb6742aa687d,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Our filter has always worked, so newly added fields need no decision."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how allowlisting log fields avoids leaking newly added sensitive fields.""}}",read,Does not satisfy: Explain how allowlisting log fields avoids leaking newly added sensitive fields.,,,,
c-f0ebdbad52a5,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Serialize the entire request and remove the sensitive fields we currently know about."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how allowlisting log fields avoids leaking newly added sensitive fields.""}}",read,Does not satisfy: Explain how allowlisting log fields avoids leaking newly added sensitive fields.,,,,
c-f1042ce35561,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Use production credentials in fixtures to prove that the redactor handles real data."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why redaction tests use synthetic sentinels and inspect actual emitted logs.""}}",read,Does not satisfy: Explain why redaction tests use synthetic sentinels and inspect actual emitted logs.,,,,
c-1c1644c7c5a8,development,migration-lock,executable,"{""current_revision"":""migration-lock-candidate-15"",""explanation"":"""",""runner_evidence"":[{""artifact"":""schema/ledger-15.sql"",""command"":""migration/check_lock.py"",""exit_code"":0,""revision"":""migration-lock-candidate-15"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""schema/ledger-15.sql"",""command"":""migration/check_lock.py"",""kind"":""executable"",""skip_condition"":""Migration concurrency lock: trusted exit 0 for this artifact, command and current revision.""}}",skip,Runner evidence condition: pass.,,,,
c-2aae0be193bb,development,migration-lock,executable,"{""current_revision"":""migration-lock-candidate-24"",""explanation"":"""",""runner_evidence"":[{""artifact"":""schema/ledger-24.sql"",""command"":""migration/check_lock.py"",""exit_code"":1,""revision"":""migration-lock-candidate-24"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""schema/ledger-24.sql"",""command"":""migration/check_lock.py"",""kind"":""executable"",""skip_condition"":""Migration concurrency lock: trusted exit 0 for this artifact, command and current revision.""}}",run_check,Runner evidence condition: failure.,,,,
c-5da6f55c0f4a,development,migration-lock,executable,"{""current_revision"":""migration-lock-candidate-27"",""explanation"":"""",""runner_evidence"":[{""artifact"":""schema/ledger-27.sql"",""command"":""migration/check_lock.py"",""exit_code"":""0"",""revision"":""migration-lock-candidate-27"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""schema/ledger-27.sql"",""command"":""migration/check_lock.py"",""kind"":""executable"",""skip_condition"":""Migration concurrency lock: trusted exit 0 for this artifact, command and current revision.""}}",run_check,Runner evidence condition: string_exit.,,,,
c-77df98a606c3,development,migration-lock,executable,"{""current_revision"":""migration-lock-candidate-12"",""explanation"":"""",""runner_evidence"":[{""artifact"":""schema/ledger-12.sql"",""command"":""migration/check_lock.py"",""exit_code"":0,""revision"":""migration-lock-candidate-12"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""schema/ledger-12.sql"",""command"":""migration/check_lock.py"",""kind"":""executable"",""skip_condition"":""Migration concurrency lock: trusted exit 0 for this artifact, command and current revision.""}}",skip,Runner evidence condition: pass.,,,,
c-03d7f044a64e,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""A SELECT before BEGIN is sufficient because the subsequent write happens immediately."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why checking an invariant before a transaction can race with another writer.""}}",read,Does not satisfy: Explain why checking an invariant before a transaction can race with another writer.,,,,
c-0ab4dc8072bb,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Retry the notification until it succeeds, even if the transaction already aborted."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why an external notification cannot be made atomic by wrapping only database writes.""}}",read,Does not satisfy: Explain why an external notification cannot be made atomic by wrapping only database writes.,,,,
c-121620f55b0a,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""The remote send is outside the database commit; use a transactional outbox and idempotent delivery."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why an external notification cannot be made atomic by wrapping only database writes.""}}",skip,Satisfies: Explain why an external notification cannot be made atomic by wrapping only database writes.,,,,
c-20246e65162c,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Commit each dependent write separately so a later failure preserves useful partial progress."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how rollback covers partial failures across dependent database changes.""}}",read,Does not satisfy: Explain how rollback covers partial failures across dependent database changes.,,,,
c-236413209c23,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Use three attempts with a delay; that makes duplicate effects impossible."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how a transaction retry avoids repeating external side effects.""}}",read,Does not satisfy: Explain how a transaction retry avoids repeating external side effects.,,,,
c-3f66475fd762,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Catch the exception and return an error; the earlier writes can remain."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how rollback covers partial failures across dependent database changes.""}}",read,Does not satisfy: Explain how rollback covers partial failures across dependent database changes.,,,,
c-4cab5c3a5440,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Retry the database operation but defer external effects through an idempotent committed intent."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how a transaction retry avoids repeating external side effects.""}}",skip,Satisfies: Explain how a transaction retry avoids repeating external side effects.,,,,
c-53f8943c3eda,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""A replayed transaction body must not issue a fresh payment; keep that effect deduplicated and outside retry."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how a transaction retry avoids repeating external side effects.""}}",skip,Satisfies: Explain how a transaction retry avoids repeating external side effects.,,,,
c-6fb5df7c896b,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Keep dependent writes in one transaction and roll them all back if any required step fails."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how rollback covers partial failures across dependent database changes.""}}",skip,Satisfies: Explain how rollback covers partial failures across dependent database changes.,,,,
c-7000f19c2c3a,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""The application has a validation function, so database concurrency is irrelevant."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why checking an invariant before a transaction can race with another writer.""}}",read,Does not satisfy: Explain why checking an invariant before a transaction can race with another writer.,,,,
c-8bcee3b83813,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Write execution is not durability. Wait for the commit result before reporting success."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a transaction must not acknowledge success before commit succeeds.""}}",skip,Satisfies: Explain why a transaction must not acknowledge success before commit succeeds.,,,,
c-8dff6c379ebd,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Record notification intent in the transaction, then deliver with deduplication after commit."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why an external notification cannot be made atomic by wrapping only database writes.""}}",skip,Satisfies: Explain why an external notification cannot be made atomic by wrapping only database writes.,,,,
c-91ecd3114ca7,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Another writer can change it after the check; enforce it with suitable locking or constraints in the transaction."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why checking an invariant before a transaction can race with another writer.""}}",skip,Satisfies: Explain why checking an invariant before a transaction can race with another writer.,,,,
c-9e20e157af77,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Commit can fail after the writes; acknowledge only after a successful commit."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a transaction must not acknowledge success before commit succeeds.""}}",skip,Satisfies: Explain why a transaction must not acknowledge success before commit succeeds.,,,,
c-c70a84698c42,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Sending email inside BEGIN and COMMIT makes email roll back automatically."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why an external notification cannot be made atomic by wrapping only database writes.""}}",read,Does not satisfy: Explain why an external notification cannot be made atomic by wrapping only database writes.,,,,
c-ea9d82bb0136,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Send success after the last UPDATE and let commit run in the background."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a transaction must not acknowledge success before commit succeeds.""}}",read,Does not satisfy: Explain why a transaction must not acknowledge success before commit succeeds.,,,,
c-ecb45f2502ee,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""If the second write fails, abort the transaction so the first write is not left committed."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how rollback covers partial failures across dependent database changes.""}}",skip,Satisfies: Explain how rollback covers partial failures across dependent database changes.,,,,
c-fb24b5653973,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Replay the whole callback, including charging the card, whenever serialization fails."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how a transaction retry avoids repeating external side effects.""}}",read,Does not satisfy: Explain how a transaction retry avoids repeating external side effects.,,,,
c-fc88c1474aa3,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""The writes are valid SQL, which is enough to assure the client."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a transaction must not acknowledge success before commit succeeds.""}}",read,Does not satisfy: Explain why a transaction must not acknowledge success before commit succeeds.,,,,
c-fd444fddc0b1,development,transaction-boundaries,semantic,"{""current_revision"":""transaction-boundaries-r7"",""explanation"":""Move the invariant into a protected database operation so concurrent changes cannot invalidate the decision."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/transaction-boundaries.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why checking an invariant before a transaction can race with another writer.""}}",skip,Satisfies: Explain why checking an invariant before a transaction can race with another writer.,,,,
c-0ca4a1d0312f,test,distribution-assets,executable,"{""current_revision"":""distribution-assets-candidate-20"",""explanation"":"""",""runner_evidence"":[{""artifact"":""dist/content-20.list"",""command"":""package/check_contents.py"",""exit_code"":0,""revision"":""distribution-assets-candidate-20"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""dist/content-20.list"",""command"":""package/check_contents.py"",""kind"":""executable"",""skip_condition"":""Distribution contents check: trusted exit 0 for this artifact, command and current revision.""}}",skip,Runner evidence condition: pass.,,,,
c-5878f131d4c7,test,distribution-assets,executable,"{""current_revision"":""distribution-assets-candidate-22"",""explanation"":"""",""runner_evidence"":[{""artifact"":""unrelated/input.txt"",""command"":""package/check_contents.py"",""exit_code"":0,""revision"":""distribution-assets-candidate-22"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""dist/content-22.list"",""command"":""package/check_contents.py"",""kind"":""executable"",""skip_condition"":""Distribution contents check: trusted exit 0 for this artifact, command and current revision.""}}",run_check,Runner evidence condition: other_artifact.,,,,
c-b33c4756608c,test,distribution-assets,executable,"{""current_revision"":""distribution-assets-candidate-27"",""explanation"":"""",""runner_evidence"":[{""artifact"":""dist/content-27.list"",""command"":""package/check_contents.py"",""exit_code"":""0"",""revision"":""distribution-assets-candidate-27"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""dist/content-27.list"",""command"":""package/check_contents.py"",""kind"":""executable"",""skip_condition"":""Distribution contents check: trusted exit 0 for this artifact, command and current revision.""}}",run_check,Runner evidence condition: string_exit.,,,,
c-f5c5fd93baa8,test,distribution-assets,executable,"{""current_revision"":""distribution-assets-candidate-16"",""explanation"":"""",""runner_evidence"":[{""artifact"":""dist/content-16.list"",""command"":""package/check_contents.py"",""exit_code"":0,""revision"":""distribution-assets-candidate-16"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""dist/content-16.list"",""command"":""package/check_contents.py"",""kind"":""executable"",""skip_condition"":""Distribution contents check: trusted exit 0 for this artifact, command and current revision.""}}",skip,Runner evidence condition: pass.,,,,
c-05a23ce2ced2,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Bound retries, preserve the failed payload and diagnostics in quarantine, and surface the unresolved failure."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how a poison message can be isolated without silently losing evidence.""}}",skip,Satisfies: Explain how a poison message can be isolated without silently losing evidence.,,,,
c-180073969bf7,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Clocks can disagree; use an authoritative version or explicit conflict resolution rather than assuming timestamp order."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why event timestamp alone may not resolve concurrent updates from independent clocks.""}}",skip,Satisfies: Explain why event timestamp alone may not resolve concurrent updates from independent clocks.,,,,
c-209dbdc8a87a,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Both updates have timestamps. That proves a deterministic winner is also the correct one."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why event timestamp alone may not resolve concurrent updates from independent clocks.""}}",read,Does not satisfy: Explain why event timestamp alone may not resolve concurrent updates from independent clocks.,,,,
c-4f6aeb7d617e,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""The consumer acknowledges fast; duplicate detection can wait until after the effect."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why duplicate event delivery must not repeat a business effect.""}}",read,Does not satisfy: Explain why duplicate event delivery must not repeat a business effect.,,,,
c-50bd51509872,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Each received message means a new business action, even when the event ID repeats."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why duplicate event delivery must not repeat a business effect.""}}",read,Does not satisfy: Explain why duplicate event delivery must not repeat a business effect.,,,,
c-515056d2e8e2,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""The handler plans to persist later, so acknowledgement can happen immediately."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why acknowledgement must follow durable processing rather than receipt.""}}",read,Does not satisfy: Explain why acknowledgement must follow durable processing rather than receipt.,,,,
c-6858c04fd95b,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Retry forever at the head of the queue; other work must wait until it succeeds."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how a poison message can be isolated without silently losing evidence.""}}",read,Does not satisfy: Explain how a poison message can be isolated without silently losing evidence.,,,,
c-84d91bad3d93,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Acknowledge after durable effect or recovery intent, otherwise a crash can lose the unprocessed message."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why acknowledgement must follow durable processing rather than receipt.""}}",skip,Satisfies: Explain why acknowledgement must follow durable processing rather than receipt.,,,,
c-9d373e32abeb,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Two writers clocks are not a total causal order, so require source ordering or resolve the conflict explicitly."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why event timestamp alone may not resolve concurrent updates from independent clocks.""}}",skip,Satisfies: Explain why event timestamp alone may not resolve concurrent updates from independent clocks.,,,,
c-a01c3804a6a4,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Drop every message that fails once and acknowledge it to keep the queue healthy."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how a poison message can be isolated without silently losing evidence.""}}",read,Does not satisfy: Explain how a poison message can be isolated without silently losing evidence.,,,,
c-a03a939e6470,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Use version ordering from the source, not arrival time, before applying a late message."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how an older update arriving late should affect newer entity state.""}}",skip,Satisfies: Explain how an older update arriving late should affect newer entity state.,,,,
c-a811f1b39911,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Pick the largest wall-clock timestamp; clock skew cannot matter if the format is ISO."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why event timestamp alone may not resolve concurrent updates from independent clocks.""}}",read,Does not satisfy: Explain why event timestamp alone may not resolve concurrent updates from independent clocks.,,,,
c-ac5a2616b88d,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Ack on receipt, then perform the write; this guarantees exactly-once processing."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why acknowledgement must follow durable processing rather than receipt.""}}",read,Does not satisfy: Explain why acknowledgement must follow durable processing rather than receipt.,,,,
c-b136a2d7f024,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Make effect application idempotent using a durable processed-event identity, not in-memory arrival count."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why duplicate event delivery must not repeat a business effect.""}}",skip,Satisfies: Explain why duplicate event delivery must not repeat a business effect.,,,,
c-ba932c88d792,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Track the event identity in the same durable operation as the effect and ignore already applied events."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why duplicate event delivery must not repeat a business effect.""}}",skip,Satisfies: Explain why duplicate event delivery must not repeat a business effect.,,,,
c-bd77c4cbc040,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""After limited attempts move the message to a durable dead-letter path with its error context for review."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how a poison message can be isolated without silently losing evidence.""}}",skip,Satisfies: Explain how a poison message can be isolated without silently losing evidence.,,,,
c-cc4e7c2f23e3,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""The older message was retried, so it is more important than the newer one."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how an older update arriving late should affect newer entity state.""}}",read,Does not satisfy: Explain how an older update arriving late should affect newer entity state.,,,,
c-de8007e8d1c8,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Compare authoritative entity versions and reject the stale update rather than overwrite newer state."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how an older update arriving late should affect newer entity state.""}}",skip,Satisfies: Explain how an older update arriving late should affect newer entity state.,,,,
c-ef1d934bb8ab,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Last arrival always wins because the queue delivered it most recently."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how an older update arriving late should affect newer entity state.""}}",read,Does not satisfy: Explain how an older update arriving late should affect newer entity state.,,,,
c-f159f364e634,test,message-order,semantic,"{""current_revision"":""message-order-r7"",""explanation"":""Persist the processing result before ack so a crash does not leave acknowledged work missing."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/message-order.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why acknowledgement must follow durable processing rather than receipt.""}}",skip,Satisfies: Explain why acknowledgement must follow durable processing rather than receipt.,,,,
c-0606ef3d2af0,test,schema-compatibility,executable,"{""current_revision"":""schema-compatibility-candidate-14"",""explanation"":"""",""runner_evidence"":[{""artifact"":""protocol/wire-14.schema"",""command"":""compat/check_wire.py"",""exit_code"":0,""revision"":""schema-compatibility-candidate-14"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""protocol/wire-14.schema"",""command"":""compat/check_wire.py"",""kind"":""executable"",""skip_condition"":""Wire compatibility check: trusted exit 0 for this artifact, command and current revision.""}}",skip,Runner evidence condition: pass.,,,,
c-09ac14256bd4,test,schema-compatibility,executable,"{""current_revision"":""schema-compatibility-candidate-24"",""explanation"":"""",""runner_evidence"":[{""artifact"":""protocol/wire-24.schema"",""command"":""compat/check_wire.py"",""exit_code"":1,""revision"":""schema-compatibility-candidate-24"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""protocol/wire-24.schema"",""command"":""compat/check_wire.py"",""kind"":""executable"",""skip_condition"":""Wire compatibility check: trusted exit 0 for this artifact, command and current revision.""}}",run_check,Runner evidence condition: failure.,,,,
